Phố,Phường,Quận,Thành phố/Tỉnh,Diện tích,Số phòng ngủ,WC,Thang Máy,Giá nhà(Tỷ),Kiểu nhà,Pháp lý
Phường Liễu Giai,Quận Ba Đình,Quận Ba Đình,Hà Nội,74.0,2,2,0,6.3,chungCu,Sổ đỏ
Phường Liễu Giai,Quận Ba Đình,Quận Ba Đình,Hà Nội,112.0,3,2,0,4.0,chungCu,Sổ đỏ
Phường Thành Công,Quận Ba Đình,Quận Ba Đình,Hà Nội,45.0,1,1,0,2.2,chungCu,Sổ đỏ
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,72.0,2,2,0,2.15,chungCu,Sổ đỏ
Phường Liễu Giai,Quận Ba Đình,Quận Ba Đình,Hà Nội,45.0,2,1,0,3.45,chungCu,Sổ đỏ
Phường Thành Công,Quận Ba Đình,Quận Ba Đình,Hà Nội,75.0,2,1,0,1.3,chungCu,Sổ đỏ
Phường Thành Công,Quận Ba Đình,Quận Ba Đình,Hà Nội,80.0,3,2,0,2.15,chungCu,Sổ đỏ
20 Núi Trúc Núi Trúc, Phường Ngọc Khánh,Quận Ba Đình,Hà Nội,120.0,2,4,0,9.0,chungCu,Sổ đỏ
Phường Giảng Võ,Quận Ba Đình,Quận Ba Đình,Hà Nội,75.0,2,1,0,2.9,chungCu,Sổ đỏ
20 Núi Trúc Núi Trúc, Phường Ngọc Khánh,Quận Ba Đình,Hà Nội,120.0,2,3,0,9.0,chungCu,Sổ đỏ
Phường Cống Vị,Quận Ba Đình,Quận Ba Đình,Hà Nội,42.0,2,1,0,1.75,chungCu,Sổ đỏ
Nguyễn Công Hoan, Phường Ngọc Khánh,Quận Ba Đình,Hà Nội,113.0,3,2,0,5.65,chungCu,Sổ đỏ
Phường Kim Mã,Quận Ba Đình,Quận Ba Đình,Hà Nội,100.0,1,1,0,6.4,chungCu,Sổ đỏ
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,335.0,1,3,0,13.0,chungCu,Sổ đỏ
Phường Thành Công,Quận Ba Đình,Quận Ba Đình,Hà Nội,55.0,1,1,0,1.95,chungCu,Sổ đỏ
Phường Ngọc Khánh,Quận Ba Đình,Quận Ba Đình,Hà Nội,153.0,4,2,0,5.1,chungCu,Sổ đỏ
Phường Kim Mã,Quận Ba Đình,Quận Ba Đình,Hà Nội,125.0,3,3,0,8.6,chungCu,Sổ đỏ
Phường Liễu Giai,Quận Ba Đình,Quận Ba Đình,Hà Nội,65.0,1,1,0,2.6,chungCu,Sổ đỏ
Phường Giảng Võ,Quận Ba Đình,Quận Ba Đình,Hà Nội,77.0,3,2,0,3.7,chungCu,Sổ đỏ
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,70.0,1,1,0,2.7,chungCu,Sổ đỏ
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,70.0,2,1,0,1.85,chungCu,Sổ đỏ
Ngọc Khánh, Phường Cống Vị,Quận Ba Đình,Hà Nội,80.0,3,2,0,2.5,chungCu,Sổ đỏ
Phường Thành Công,Quận Ba Đình,Quận Ba Đình,Hà Nội,100.0,1,1,0,3.2,chungCu,Sổ đỏ
Hàng Than, Phường Nguyễn Trung Trực,Quận Ba Đình,Hà Nội,40.0,1,1,0,2.5,chungCu,Sổ đỏ
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,70.0,2,1,0,1.85,chungCu,Sổ đỏ
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,105.0,3,2,0,4.5,chungCu,Sổ đỏ
Phường Thành Công,Quận Ba Đình,Quận Ba Đình,Hà Nội,90.0,2,2,0,2.45,chungCu,Sổ đỏ
Phường Liễu Giai,Quận Ba Đình,Quận Ba Đình,Hà Nội,57.0,2,2,0,2.5,chungCu,Sổ đỏ
Phường Thành Công,Quận Ba Đình,Quận Ba Đình,Hà Nội,155.0,3,2,0,3.99,chungCu,Sổ đỏ
Phường Thành Công,Quận Ba Đình,Quận Ba Đình,Hà Nội,100.0,2,1,0,2.6,chungCu,Sổ đỏ
Phường Liễu Giai,Quận Ba Đình,Quận Ba Đình,Hà Nội,50.0,2,1,0,0.63,chungCu,Sổ đỏ
Phường Liễu Giai,Quận Ba Đình,Quận Ba Đình,Hà Nội,50.0,2,1,0,0.56,chungCu,Sổ đỏ
Phường Liễu Giai,Quận Ba Đình,Quận Ba Đình,Hà Nội,50.0,2,1,0,0.62,chungCu,Sổ đỏ
Phường Liễu Giai,Quận Ba Đình,Quận Ba Đình,Hà Nội,50.0,2,1,0,0.6,chungCu,Sổ đỏ
Phường Liễu Giai,Quận Ba Đình,Quận Ba Đình,Hà Nội,50.0,2,1,0,0.57,chungCu,Sổ đỏ
Đốc Ngữ, Phường Vĩnh Phúc,Quận Ba Đình,Hà Nội,91.0,2,1,0,3.3,chungCu,Sổ đỏ
Đốc Ngữ, Phường Liễu Giai,Quận Ba Đình,Hà Nội,120.0,3,2,0,4.7,chungCu,Sổ đỏ
Phường Giảng Võ,Quận Ba Đình,Quận Ba Đình,Hà Nội,75.0,4,4,0,2.36,chungCu,Sổ đỏ
Phường Ngọc Hà,Quận Ba Đình,Quận Ba Đình,Hà Nội,35.0,1,1,0,0.82,chungCu,Sổ đỏ
Phường Ngọc Hà,Quận Ba Đình,Quận Ba Đình,Hà Nội,31.0,1,1,0,0.79,chungCu,Sổ đỏ
Phường Kim Mã,Quận Ba Đình,Quận Ba Đình,Hà Nội,113.0,2,2,0,3.751,chungCu,Sổ đỏ
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,43.0,2,1,0,0.66,chungCu,Sổ đỏ
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,90.0,3,1,0,2.5,chungCu,Sổ đỏ
Phường Thành Công,Quận Ba Đình,Quận Ba Đình,Hà Nội,90.0,3,2,0,2.1,chungCu,Sổ đỏ
Đốc Ngữ, Phường Liễu Giai,Quận Ba Đình,Hà Nội,91.0,4,3,0,3.5,chungCu,Sổ đỏ
Phường Thành Công,Quận Ba Đình,Quận Ba Đình,Hà Nội,100.0,3,2,0,3.0,chungCu,Sổ đỏ
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,62.0,1,1,0,2.2800000000000002,chungCu,Sổ đỏ
Phường Thành Công,Quận Ba Đình,Quận Ba Đình,Hà Nội,85.0,2,1,0,4.35,chungCu,Sổ đỏ
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,85.0,4,2,0,2.3,chungCu,Sổ đỏ
Phường Thành Công,Quận Ba Đình,Quận Ba Đình,Hà Nội,100.0,3,2,0,2.65,chungCu,Sổ đỏ
Phường Giảng Võ,Quận Ba Đình,Quận Ba Đình,Hà Nội,50.0,2,1,0,3.43,chungCu,Sổ hồng
Phường Giảng Võ,Quận Ba Đình,Quận Ba Đình,Hà Nội,55.0,1,1,0,3.48,chungCu,Sổ hồng
Phường Giảng Võ,Quận Ba Đình,Quận Ba Đình,Hà Nội,55.0,1,1,0,3.48,chungCu,Sổ hồng
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,90.0,2,2,0,5.0,chungCu,Sổ hồng
Phường Đội Cấn,Quận Ba Đình,Quận Ba Đình,Hà Nội,50.0,2,1,0,0.7,chungCu,Sổ hồng
Phường Kim Mã,Quận Ba Đình,Quận Ba Đình,Hà Nội,52.0,2,1,0,1.45,chungCu,Sổ hồng
Phường Liễu Giai,Quận Ba Đình,Quận Ba Đình,Hà Nội,35.0,1,1,0,0.69,chungCu,Sổ hồng
Giang Văn Minh, Phường Đội Cấn,Quận Ba Đình,Hà Nội,52.0,2,1,0,0.8,chungCu,Sổ hồng
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,55.0,2,2,0,0.7,chungCu,Sổ hồng
Phường Ngọc Hà,Quận Ba Đình,Quận Ba Đình,Hà Nội,50.0,2,1,0,0.8,chungCu,Sổ hồng
Phường Liễu Giai,Quận Ba Đình,Quận Ba Đình,Hà Nội,50.0,2,1,0,0.68,chungCu,Sổ hồng
Phường Ngọc Hà,Quận Ba Đình,Quận Ba Đình,Hà Nội,50.0,2,2,0,0.609,chungCu,Sổ hồng
Giang Văn Minh, Phường Đội Cấn,Quận Ba Đình,Hà Nội,50.0,2,2,0,0.609,chungCu,Sổ hồng
Phường Kim Mã,Quận Ba Đình,Quận Ba Đình,Hà Nội,55.0,2,2,0,0.635,chungCu,Sổ hồng
Phường Ngọc Hà,Quận Ba Đình,Quận Ba Đình,Hà Nội,56.0,2,2,0,0.685,chungCu,Sổ hồng
Phường Đội Cấn,Quận Ba Đình,Quận Ba Đình,Hà Nội,55.0,2,2,0,0.68,chungCu,Sổ hồng
Lê Hồng Phong, Phường Điện Biên,Quận Ba Đình,Hà Nội,55.0,2,2,0,0.78,chungCu,Sổ hồng
Phường Liễu Giai,Quận Ba Đình,Quận Ba Đình,Hà Nội,55.0,2,1,0,0.65,chungCu,Sổ hồng
Lê Hồng Phong, Phường Điện Biên,Quận Ba Đình,Hà Nội,54.0,2,2,0,0.645,chungCu,Sổ hồng
Phường Ngọc Hà,Quận Ba Đình,Quận Ba Đình,Hà Nội,53.0,2,2,0,0.68,chungCu,Sổ hồng
Nguyễn Thái Học, Phường Điện Biên,Quận Ba Đình,Hà Nội,53.0,2,2,0,0.7,chungCu,Sổ hồng
Phường Ngọc Khánh,Quận Ba Đình,Quận Ba Đình,Hà Nội,54.0,2,2,0,0.65,chungCu,Sổ hồng
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,35.0,1,1,0,0.68,chungCu,Sổ hồng
Phường Ngọc Khánh,Quận Ba Đình,Quận Ba Đình,Hà Nội,30.0,2,1,0,0.65,chungCu,Sổ hồng
Phường Ngọc Hà,Quận Ba Đình,Quận Ba Đình,Hà Nội,32.0,1,3,0,0.87,chungCu,Sổ hồng
Phường Đội Cấn,Quận Ba Đình,Quận Ba Đình,Hà Nội,50.0,2,1,0,0.75,chungCu,Sổ hồng
Phường Ngọc Hà,Quận Ba Đình,Quận Ba Đình,Hà Nội,35.0,1,1,0,0.87,chungCu,Sổ hồng
Phường Đội Cấn,Quận Ba Đình,Quận Ba Đình,Hà Nội,35.0,1,1,0,0.7,chungCu,Sổ hồng
